category,total_orders,late_orders,late_rate,avg_delay_when_late,avg_review
home_comfort_2,21,3,14.3,12.7,3.9
furniture_mattress_and_upholstery,37,5,13.5,15.2,3.89
audio,341,40,11.7,8.4,3.84
home_confort,368,35,9.5,13.6,3.92
fashion_underwear_beach,116,11,9.5,8.4,4.01
books_technical,254,21,8.3,6.5,4.43
baby,2741,220,8.0,11.1,4.12
office_furniture,1236,99,8.0,13.0,3.65
musical_instruments,601,46,7.7,12.4,4.25
electronics,2488,190,7.6,9.4,4.13
health_beauty,8562,633,7.4,9.8,4.23
bed_bath_table,9071,668,7.4,10.9,4.01
christmas_supplies,123,9,7.3,15.6,4.11
watches_gifts,5430,395,7.3,9.7,4.13
auto,3774,273,7.2,11.7,4.15
furniture_living_room,404,29,7.2,10.9,4.09
construction_tools_construction,723,52,7.2,11.9,4.13
dvds_blu_ray,56,4,7.1,7.0,4.2
telephony,4051,287,7.1,9.3,4.06
furniture_decor,6163,436,7.1,11.0,4.07
food,431,30,7.0,13.7,4.32
furniture_bedroom,89,6,6.7,8.3,4.29
construction_tools_lights,228,15,6.6,6.1,4.21
industry_commerce_and_business,226,15,6.6,9.4,4.23
sports_leisure,7444,487,6.5,10.7,4.23
perfumery,3063,200,6.5,11.0,4.27
stationery,2234,146,6.5,11.8,4.31
garden_tools,3394,221,6.5,10.2,4.19
books_general_interest,488,31,6.4,7.0,4.54
computers_accessories,6469,407,6.3,10.2,4.09
art,189,12,6.3,3.2,4.13
cine_photo,63,4,6.3,3.0,4.33
home_construction,464,29,6.2,12.6,4.05
home_appliances_2,225,14,6.2,21.9,4.16
toys,3748,230,6.1,10.6,4.24
consoles_games,1005,59,5.9,11.6,4.19
cool_stuff,3499,204,5.8,11.5,4.23
small_appliances_home_oven_and_coffee,72,4,5.6,4.8,4.43
fashio_female_clothing,36,2,5.6,4.0,3.92
costruction_tools_garden,183,10,5.5,3.0,4.28
fashion_bags_accessories,1802,100,5.5,10.3,4.24
music,37,2,5.4,18.0,4.3
housewares,5655,299,5.3,10.6,4.2
drinks,284,15,5.3,12.4,4.26
costruction_tools_tools,94,5,5.3,4.6,4.43
pet_shop,1674,84,5.0,7.8,4.28
small_appliances,600,28,4.7,8.8,4.27
kitchen_dining_laundry_garden_furniture,237,11,4.6,8.9,4.14
computers,173,8,4.6,13.6,4.24
arts_and_craftmanship,22,1,4.5,4.0,4.14
home_appliances,744,33,4.4,6.7,4.22
fashion_shoes,229,10,4.4,10.8,4.3
fixed_telephony,209,9,4.3,10.0,3.97
fashion_sport,24,1,4.2,8.0,4.54
luggage_accessories,1004,42,4.2,8.7,4.38
market_place,266,11,4.1,11.5,4.12
agro_industry_and_commerce,177,7,4.0,11.3,4.11
tablets_printing_image,75,3,4.0,13.3,4.17
fashion_male_clothing,105,4,3.8,11.2,3.82
air_conditioning,241,9,3.7,12.1,4.13
food_drink,218,8,3.7,14.9,4.44
signaling_and_security,137,5,3.6,19.0,4.12
flowers,28,1,3.6,5.0,4.39
construction_tools_safety,152,4,2.6,14.2,4.01
books_imported,49,1,2.0,7.0,4.51
cds_dvds_musicals,12,0,0.0,,4.67
fashion_childrens_clothes,7,0,0.0,,5.0
diapers_and_hygiene,25,0,0.0,,3.96
la_cuisine,11,0,0.0,,4.55
security_and_services,2,0,0.0,,2.5
party_supplies,38,0,0.0,,4.08
